Summary,Text,City,State,Date,Month_Year Display,Month_Year ID,Year,Month,Time,Miss Lon/Lat,City_Lat,City_Long,Shape,Duration (days),durationHr,durationMin,durationSec,Duration,report_link,Abduct,Aliens,Area 51,Coverup,Craft,Disappear,Hover,Light,Memory,Object,Orbs,Blue,Green,Orange,Purple,Red,White,Yellow
I think I was 15 and my father was driving me to my friends house. As we were going down 212 and getting on highway 62 I saw something,"I think I was 15 and my father was driving me to my friends house.  As we were going down 212 and getting on highway 62 I saw something I'll never forget.  It looked like a blimp but was lit up like a skyscraper.  It was gigantic.. it was in the Minneapolis area around 2005, did anyone seen something similar? ((NUFORC Note:  Witness indicates that the date of the sighting is approximate.  PD))",Edina,MN,2005-12-12,Dec 2005,200512,2005,12,19:00:00,1.00,44.8914,-93.3602,cigar,0.041666667,1,60,"3,600.00",1 hour,http://www.nuforc.org/webreports/139/S139525.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I think I was 15 and my father was driving me to my friends house. As we were going down 212 and getting on highway 62 I saw something,"I think I was 15 and my father was driving me to my friend's house.  As we were going down 212 and getting on highway 62, I saw something I'll never forget.  It looked like a blimp but was lit up like a skyscraper.  It was gigantic.  It was in the Minneapolis area, around 2005, Did anyone seen something similar? ((NUFORC Note:  Witness indicates that the date of the sighting is approximate.  PD))",Edina,MN,2005-12-12,Dec 2005,200512,2005,12,19:00:00,1.00,44.8914,-93.3602,cigar,0.041666667,1,60,"3,600.00",1 hour,http://www.nuforc.org/webreports/139/S139730.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Girded Structured UFO with many lights spends 45 minutes hovering over Fairbanks, Alaska on January 13, 2005","Girded Structured UFO with many lights spends 45 minutes hovering over Fairbanks, Alaska on January 13, 2005 Semi Trapezoidal or Angular Platform like Structure, with many white opaque lights, was seen from the Wal~Mart employee parking lot at about 8 PM on January 13, 2005.   Spires with lights on them appeared to jut out from it's left side.  It was a clear night -44 Degrees Below Zero.  There was a slight breeze moving from left to right of viewing plane.  I estimate the breeze moving from East to West.  We were looking south from the parking lot.  The object hovered silently and stayed stationary regardless of the breeze.  After about 5-10 minutes the object began to move slightly toward the right of the viewing plane.  The object then stopped again and remained stationary.  While observing it I waited for ((name deleted)) to see it since I did not want to imply what I was seeing.  He then looked up where I was looking and asked, ""What the hell is that?""  Be both observed it for a few more minutes then both decided to go home.  He drove up to murphy Dome Road and said it was no longer in his sight.  The object stayed stationary as we both went home.  The object was in my path as I drove home, moving toward it, so I watched it as I was driving home looking to see if it would get any bigger.  I am still not sure if it did get any bigger.  Later measurements seem to indicate that it did appear larger at my appartment.  At my appartment, I observed the object from my balcony and still was trying to explain it away.  I convinced myself that it was lights from a far away building I never knew existed before, and had a feeling that it would be there in the morning.  However, I convinced myself of this in spite that I knew it was a wrong assumption.  This was because the structure of the placement of the lights were sort of in a random pattern of distribution and that I had seen it moving.  I had a camera with me but assumed that it would be there in the morning.  I went to bed, due to exaustion, after 30 minutes had elapsed from the initial sighting to the balcony sighting even thought the object was still visible.    So my visual sighting took only about 30 minutes.  However, after a conversation with a Physics Personnel at the University of Alaska, Geophysical Institute, we obtained infrasound readings of what may be the object.  The infrasound readings indicate that there might have been an engine signature on Atmospheric Entry and then another signature on Exiting the Earths Atmosphere.  The infrasound readings obtained sounds well below human hearing levels.  Anyhow, two distinct readings do exist that happen to be approximately 45 minutes apart.  I am still in the process of obtaining weather radar data, and any other data possible.",Fairbanks,AK,2005-01-13,Jan 2005,200501,2005,1,20:00:00,0.00,64.84527636,-147.8347388,other,0.03125,0.75,45,"2,700.00",45 Minutes,http://www.nuforc.org/webreports/051/S51310.html,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0
"((HOAX??))  MULTIDIMENTIONAL BEINGS SEEN WITH ""BLUE MIST"" FROM SEE THROUGH SHIP.","MULTIDIMENTIONAL BEINGS SEEN WITH ""BLUE MIST"" FROM SEE THROUGH SHIP. ARIZONA 2/21/05 A BLUISH RAIN FROM THE BOTTOM OF A ROUNDISH SEE THROUGH SHAPE. IT WAS STEALTH.  A SMALLER RED ""ORB"" WAS MOVING TO AND FRO AROUND THE BLUISH RAIN AT A FAST RATE. THE RAIN OR MIST FELL FOR ABOUT 50 FEET AT THE TOP OF A SMALL FENCED-IN BUTTE LATER KNOWN TO US AS A DEVELOPMENT KNOWN AS BRONCO BUTTE.  ABOUT 5-10- MINUITES PASSED WHEN WE SAW SOMETHING EXITING FROM THIS BLUE MIST.  SEVERAL BEINGS SEEMED TO APPEAR AND DISSAPEAR LIKE THE pREDITOR"" MOVIE.  AS THEY CAME CLOSER WE SEE THEY ARE AN AVERAGE HIGHT OF 12 FEET, HUMANOID FEATURES MOVING IN AND OUT OF MULTIPLE DIMENTIONS. THEY WALKED RIGHT UP TO US AND SWARMED AROUND MY WIFE AND I FORMING TWO GROUPS.  I TRIED TO TURN MY HEAD TO FOLLOW BUT FOUND I COULD NOT MOVE BUT TO LOOK INTO THE MISTY ""ENERGY"" AS THEY CAME DOWN THE BUTTE , THE SMALLER ONES RUNNING TOWARDS US AND GETTING RIGHT IN OUR FACES.  THESE SMALLER BEINGS LOOKED TO ME AS IF THEY WERE ""GREYS"".  WE JUST STOOD IN PLACE WITH OUR JAWS WIDE OPEN FOR AROUND 45 MINS. AS ""ALOT"" OF BEINGS WALKED RIGHT AROUND US, APPEARING IN AND OUT OF OUR DIMENSION, LIKE ""THE PREDITER"".  WE WERE NOT SCARED BUT RATHER IN AWE OF AN ACTUAL CLOSE ENCOUNTER OF THE THIRD KIND. FEELING WEAK WE LEFT. THE BLUEISH MIST WAS FADING AS WE DROVE AWAY. ((NUFORC Note:  We suspect that this is a hoaxed report.  PD))",Phoenix,AZ,2005-02-21,Feb 2005,200502,2005,2,18:00:00,0.00,33.53538055,-112.04946,light,0.03125,0.75,45,"2,700.00",45 MINS,http://www.nuforc.org/webreports/054/S54784.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Peculiar lights in the sky,"Peculiar lights in the sky I was with my wife, her sister, my brother-in-law, and their three children.  We were in the condo where we were staying.  It was about 9:30 in the evening.  The condo is on the fifth floor, overlooking the ocean.  We just went out on the balcony for some air when we saw some peculiar lights out over the ocean.  There was no noise and all the lights were the same configuration. They didn't appear to move but seemed to stay in the same place and blink on and off.  The lights were arranged in a horizontal line in a set of three.  They weren't very bright.  The lights were an equadistance apart.  They did seem to be at verying distance from us as some of the crafts (sets of light) seemed to be farther away or at least the lights were closer together like they would appear if the crafts were farther away. The lights were all the same color - white and it was quite dark and there was a high cloud cover so there were no stars. The lights (crafts) were spread out all across the sky at varying distances. I thought it could have been some kind of reflection or a peculiar bending of light but I couldn't see how it could be so widespread and appear to be at varying depths. The lights did blink on and off at the same time and while I thought that was important, I couldn't figure out what I was seeing. It went on for probably 45 minutes and then gradually faded away. There is probably some reasonable explanation but I couldn't see what it could be so I thought I would report it.",North Myrtle Beach,SC,2005-09-15,Sep 2005,200509,2005,9,21:30:00,0.00,33.83166,-78.65013,light,0.03125,0.75,45,"2,700.00",45 minutes,http://www.nuforc.org/webreports/055/S55284.html,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
My UFO Sighting: CE II,"My UFO Sighting: CE II At 21:00 or 9:00 PM a coworker and I left work for the day and went to start up our vehicles in the associate parking lot of a local /chain retail store.  It was approximately -34 to -44 degrees below zero with a strong wind and dark.  It was colder inside our automobiles than outside so we waited outside our vehicles while they were warming up.  I looked up at approximately south, southeast (which was above the discount store building) to observe an object, in the shape of a trapezoid, that was large enough that it's bottom was 7 degrees above the horizon and it's top was 24 degrees above the horizon.  The object had a cluster of lights that were semi structured / semi randomly placed that apeared mother of pearl in color.  It was stationary regardless of the wind.     I waited to see if the other person observed it as well then he asked me if I was seing what he was seeing.  After observing it for about 15 minutes it moved 5 degrees to the right then went stationary again.  At this time our vehicles were warm so we both drove home.  It just so happens that I lived 1.4 miles in the direction of the object.  So I observed it getting larger as I drove toward it.  From the balcony of my appartment I observed it for another 15 minutes.  Then I went to sleep due to exhaustion.  I since then have taken GPS readings from both sighting locations.  With the help of University Scientists I have obtained Infrasound and Weather Radar Data.  The infrasound data may not be related based on university staff reccomendations.  Also, the infrasound readings are below audible levels.  I did not hear any noise. However two bars of infrasound do appear.  One bar at about 21:00 the other bar maybe 45 minutes later. (The one scientist that explained this to me became upset when I expressed my intention to report this data.) It is estimated that the object was 45 miles away and 4,000 feet above the earth. (?) With the help of three mathematicians I estimate the width of the object to be about 23.3 miles wide. ! It is t hought to be of a natural origin.  However, it did seem to exhibit some movement that suggests intelligent operation.  But I cringe at that speculation.  The creative part of me wants to elaborate and fill in the blanks.  But the logical side of me is struggling to explain it away as a natural phenomenon.   I have put together a 77 page book on it and sold one copy over ebay.  There is a quickly rendered photoshop picture, that I developed, with it.  Geography, B.A. ((NUFORC Note:  Date of the event may be approximate.  PD))",Fairbanks,AK,2005-01-13,Jan 2005,200501,2005,1,21:00:00,0.00,64.84527636,-147.8347388,other,0.03125,0.75,45,"2,700.00",45 Minutes,http://www.nuforc.org/webreports/058/S58841.html,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Orbs with auras moving north and a triangle shaped object moving over 30 + foot trees.,"Orbs with auras moving north and a triangle shaped object moving over 30 + foot trees. My sister, nephew, and I witnessed multiple orbs with a green aura around the largest one. The aura appeared to be the wash from the rotors of silent helicopters flying north over Deer Isle at an elevation of 10 miles up or more.  We started to view thru a telescope, but quickly realized it was easily seen with the naked eye.  The orb and wash effect moved in various directions only to return to the initiation point.  After watching for some 45 minutes a large triangle shaped object passed over our home moving west to east. It was silent as it floated over the 30 + foot trees that ring our summer home.  It disappeared in the blink of an eye and the previously seen wash disappeared also.  The sky was studded with stars that appears to be out of their normal position. My sister saw what she believes was recon aircraft coming from the north.",Deer Isle,ME,2005-04-26,Apr 2005,200504,2005,4,21:30:00,0.00,44.224,-68.6775,other,0.03125,0.75,45,"2,700.00",30 - 45 minutes,http://www.nuforc.org/webreports/060/S60795.html,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0
"A bright white light hovered over Pueblo Blvd. bridge over the Arkansas River, about 30 ft. above traffic, but no traffic seemed to see","A bright white light hovered over Pueblo Blvd. bridge over the Arkansas River, about 30 ft. above traffic, but no traffic seemed to see My friends and I were parked in my friend's car at Pueblo City Park, in the dirt lot directly behind the skate park. We were parked right next to the drop off to the Arkansas river and the fence to the little basesball park behind the skate park. We were facing the bridge of Pueblo Blvd as it goes over the Arkansas River. We were sitting there for about 20 seconds before we noticed there was an odd light hovering above the Pueblo Blvd. bridge. It was a bright white light, but the light from this object seemed to only radiate outwards horizontally, diagonally upward, and seemingly upwards. It did not appear that the light could have been seen should you have been lower in elevation than it was in the slightest. The elevation of the craft was approximately the same as our current elevation, as the bridge seemed to be 25-30ft lower in elevation. We could not see what the shape of the craft was. We were amazed because it was hovering directly over passing cars, but those cars apparently were not aware of the bright white light we saw above them and no glare from the white light shown off the cars or the road. It sat there for about 15 minutes, ever so slightly wavering back and forth along the length of the road, and to our amazement no cars beneath were aware of this bright white light above them. Then the light turned off and there was nothing where it had been. About another minute later the white light turned back on, but it was closer to us, over the river, about halfway between us and the bridge it had previously hovered over. This time, there were two more lights apparently attached to the craft. The big white light on top, a small orange light to the bottom right beneath the white one, and a small red light to the bottom left of the white light, just slightly lower than the orange one. All of these lights were round at this time. The white light appeared to shine like a light bulb, in every direction equally, and out of the middle of this appeared part of the light was focusing like ! a spotli ght. The glare from the shifting spotlight effect started at our upper left, then appeared to scan across us to the bottom right, then back to the upper left. I began filming the light with my video phone, and the light moved closer to us over the river. This was the closest it had gotten to us. Just as my 45-second recording ended, we noticed a pair of headlights behind us driving toward where we were, and we watched to see if it was a cop. You're not allowed to be in the park past 10pm, which we were doing, so we wanted to know if it was a cop. Well, it was. We could see the spotlights on it and the emergency light fixture on top. It drove up behind our car and we started our car and started to drive off, the whole time the ufo was still shining brightly, proudly displaying itself over the river. The cop followed us out of the skate park area onto a one way road out of the park with no turn offs. We didn't look back, but the cop's headlights were very bright and very close behind us. All of the sudden the headlights turn off. We look back, and where there had been a cop driving behind us not even 30ft behind, there was nothing but an empty road for about 125ft behind us. There was no where for the cop to turn off and the road behind us was well lit by a street light. That cop car simply vanished.  The next night we returned to the same spot. There was that same light hovering over the same bridge, but this time the light was just slightly dimmer, and the white light attached to the craft appeared to be a pyramid-shaped bright white light that was rotating counterclockwise. Each edge of this pyramid shaped white light seemed to be darker than the flat surfaces emitting the light. Again, while it was hovering over the road it did not have the lower orange and red lights turned on. It hovered over the bridge for about 10 minutes, then the light turned off and it vanished. About five minutes after that, it turned its light back on, appearing on our side of the bridge, but off to the right above the tree line. This time, the red and orange lights were turned on again and the white light was too bright to see the pyramid shape. It kept the same elevation the whole time, but moved around very very slowly over the trees. It then turned all lights off and vanished again. About 5 seconds later, it re-appeared in the direction of the Arkansas river, but at least 4 miles farther away. It moved back and forth for about 15 seconds, then turned off again. About 5 seconds later, it appeared even farther away on the horizon, moved around for about 15 seconds, then turned off again. We sat there for about half an hour and it re-appeared between us and the bridge, over the river, but this time slightly lower in elevation to us. This was the closest it had gotten to us. The red light on the bottom began to slowly increase in intensity, then decrease, then increase, and back and forth. The main white light appeared to scan us again and the craft began moving even closer to us. This time it didn't appear it was trying to scare us off by slightly moving toward us, this time it looked like the thing was coming for us. My friend started his car, peeled out backing up while turning around, then peeled out toward the exit to the skate park area. The white light behind us came right up to where our car had been parked, and m! y friend floored it toward the exit to city park, as it exits onto Pueblo Blvd. The light did not follow us out of the skate park area, it just came right up to where we had been parked and we lost sight of it. At the closest, this light was about 4/5 of a football field away from us. The only thing we could think is that it was a military drone aircraft of some type.  Also, this craft never made any sound we could hear. Both nights it was about 10pm and both nights were very dark with very little star visibility. ((NUFORC Note:  Witness indicates that the date of the incident is approximate.  PD))",Pueblo,CO,2005-10-20,Oct 2005,200510,2005,10,22:00:00,0.00,38.27602697,-104.6634627,other,0.03125,0.75,45,"2,700.00",45 minutes,http://www.nuforc.org/webreports/061/S61722.html,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0
ME AND MY NEIGHBOR WERE HANGING OUT WE SAW SOME EXITING UFO.  ((NUFORC Note:  Possible hoax?  PD)),"WHILE ME AND MY NEIGHBOR FRIENDS WERE JUST SHOOTING THE BULL AND WERE HANGING OUT WE SAW SOME EXITING UFO. On Tuesday, November 22, 2005 at 7.40 P.M. I was at a nearby neighbors house with some friends we were out in the backyard on the patio. We were grilling barbecue ribs, barbecue chicken, and steaks on the outdoor grills out in the backyard. We looked up and saw 3 circle UFOS. On the inside of the bottom they had red, yellow, and green lights then red, yellow, and purple lights then they were a roquefort blue (what I mean by a roquefort blue they looked like roquefort and blue cheese salad dressing the lights on the inside of the bottom looked like blue cheese salad dressing) they were still roquefort blue then on the inside of the bottom they had red and orange lights mainly red lights then again red, yellow, and green lights and emitted orange beams.                                                                                                                                                                                                                                                          Then 3 triangler UFOS showed up they were purple lighted with red dots on the corners and emitted pink beams. Then the 3 circle UFOS had red, yellow, and pink lights on the inside of the bottom then red, yellow and purple lights then red, yellow and green lights. Then as we were still grilling our food barbecue ribs, barbecue chicken, and steaks on the outdoor grills out in the back yard. The 3 circle UFOS on the inside of the bottom one of them had red, yellow, and green lights the other one red, yellow, and purple lights and the one red, yellow, and pink lights and the 3 triangler UFOS were had roquefort blue lights with red dots on the corners.                                                                                                                                                                   They all hovered over the treetops in the backyard as we were grilling our food barbecue ribs, barbecue chicken, and steaks on the outdoor grills in the backyard and we were drinking COKES AND DR! . PEPPER S as we watched the UFOS hover over the backyard. Then all 3 circle UFOS on the inside of the bottom had red, yellow, and oranger lights then red, yellow, and pink lights then all blue lights on the inside of the bottom then all 3 circle UFOS on the inside of the bottom had red, yellow, and green lights then red, yellow, and purple lights then red and orange lights mainly red lights then again on the inside of the bottom red, yellow, and purple lights then red, yellow, and green lights and emitted orange beams then the 3 triangler UFOS were yellow lighted wit red dots on the corners. and emitted purple beams. Then all 3 circle UFOS and the triangler UFOS were all white lighted. The 3 circle UFOS on the inside of the bottom were all white lighted and the 3 triangler UFOS were all white lighted with no dots on the corners.                                                                                                                                                                                                                                                        Then all 6 UFOS the 3 circle UFOS and the 3 triangler UFOS all disappeared and we saw them no more they were going towards the ocean to folley beach I guess they crashed out in the ocean. We saw all of this as we were grilling our food barbecue ribs, barbecue chicken, and steaks on the outdoor grills out in the backyard.                                                                                                                                                                                                                                                       Then as we were still grilling our food on the outdoor grills out in the backyard 2 huge cone UFOS showed up the were red on top and yellow on bottom then red on top and purple on bottom then they disappeard they disappeard as fast as they came going towards the ocean and probally crashed in the ocean. Then 2 rectangler UFOS showed up they were blue lighted and then red lighted and emitted! purple and yellow beams. Then 2 diamond UFOS showed up they were a gold color. Then as we were still grilling barbecue ribs, barbecue chicken, and steaks on the outdoor grills in the backyard our food a huge chest UFO showed up it had colors of red, yellow, green, purple, blue, orange, roquefort blue, pink, white, black, and gray on it. And it hovered all over the backyard and emitted orange and roquefort blue beams and then disappeared going. All the UFOS cone, rectangler, diamond, and chest UFO were going towards folley beach I guess they all crashed out in the ocean.                                                                                                                                                                                                                                                          Then a circle UFO showed up on the inside of the bottom it had red, yellow, and purple lights and emitted orange beams the red, yellow, and green lights and emitted orange beams then on the inside of the bottom all blue lights then red and orange lights mainly red lights then again red, yellow and green lights and emitted orange beams. Then it was all white lighted on the inside of the bottom it had all white lights and disappeard it probally crashed out in the ocean.                                                                                                                                                                                                                                                          Then 3 more triangler UFOS showed up they were all pink lighted with red dots on the corners and emitted blue and purple beams then they were blue lighted with red dots on the corners and made a whistling sound and disappeard going to folley beach to crash in the ocean. Then 2 more triangler UFOS showed up they were green lighted with yellow dots on the corners they made a whistling sound then they were all white lighted with no dots on the corners then they disappeard going towards the ocean to! folley beach I guess they crashed out in the ocean.                                                                                                                                                                                                                                                          Then we were all done grilling our food the barbecue ribs, barbecue chicken, and steaks we grilled on the outdoor grills out in the backyard as we were watching all these UFOS we saw that night. We saw no more UFOS and we took our food in the grilled on the outdoor grills out in the backyard and got ready to eat it. It was really fun to be with my neighbor friends being together and seeing the UFOS we saw it was a very clear night outside and we saw no more UFOS. It was really an exiting experience to see all the UFOS we saw when we were all in the backyard grilling food and we were all together. We just couldn't believe all the UFOS we saw when we were all together. ((NUFORC Note:  Possible hoax?  PD))",James Island,SC,2005-11-22,Nov 2005,200511,2005,11,19:40:00,1.00,32.7353,-79.9396,other,0.03125,0.75,45,"2,700.00",45 MINUTES,http://www.nuforc.org/webreports/065/S65860.html,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1
"UFO followed us for more than 30 minutes in Bastrop, La","UFO followed us for more than 30 minutes in Bastrop, La On 10/17/05 a friend was coming to my house in Bastrop, La to help prepare for an upcoming Halloween party he and I were planning.  He was killed 2 miles from my house in a one vehicle crash.  On 10/19 his wife (friend #1) asked that we (3 friends) go to her house to get his burial clothes because she did not want to go alone.  We took my car.  The time there was somber to say the least, we reminisced a bit and left for my house.  Upon backing out of the driveway friend #4, sitting in the back passenger side said ""What in the heck is that?""  Nobody looked because she has a drug problem and we never take her seriously.  Her sister (friend #3), sitting in back, driver side looked and said ""Oh My God look over the house!""  I looked and stopped the car (in that order) and all I can say is the first thing that came to mind was ""Is that an old car?"" I immediately dismissed that idea because it was ridiculous and I continued driving.  I figured it would 'disappear' but it didn't.  I came to a stop sign within a mile, rolled through it and the object was moving closer to us from the direction of Friend #1 house.  The object was not as high as a cell tower (I don't feel comfortable stating measurements in feet).  It was pewter in color.  It depended on the angle it was looked at, as to what it looked like.  After a while I didn't see the old car resemblance, I saw a futuristic car.  The car comparison is due to what appeared to be big fenders, like a 56 chevy.  The closest thing my mind could compare it to was the car in Back to the Future.  Its movements were as quick as a thought, there was no stall when it stopped.  At one point it backed up, stopped, waited and continued when we did. It was more of a rectangle shape than a disk at one angle.  Every edge was rounded and where there could have been doors there were no seams.  It appeared to have a windshield because the front of the object had a darker color in the area of the windshield. My friend that had died in the wreck had seen them many times out there as orbs and lights and triangles, always at night.  We have video that he filmed.  I watched some of it, I saw an orb but I'm not sure what to think but he was definitely convinced it was abnormal. The area we were traveling is in a very rural area and the road from their house to town is narrow and winding with trees hanging over the road.  Most of it follows a bayou for the first 5 miles or so.  Then it is open pastures and farm land for 5 or 6 miles to a city of 20,000. I live on the opposite side of town so we drove through town on a four lane highway until we stopped at a gas station 3 miles from my home.  Then we proceeded to my house through farm land.  Through the entire route the object stayed to our left as we headed north and then west.  It was hard to see it clear when we first left Friend #1's house due to the trees but we could see it.  It followed us along the winding road.  It stopped when we stopped and we all commented about it stopping.  All of us are fairly cool-headed so no one panicked.  It was the first time any of us saw a spark of the normal Friend #1 in the past few days.  We didn't know whether to laugh or cry so we all started laughing, everybody found a cigarette to puff on and we watched it follow us for the next 10 miles until we stopped at the gas station.  No one outside of my car seemed to see it.  We were all looking up and while on the 4-lane I watched other cars and it was as if they didn't see us either but that's not unusual these days.  When we stopped the lights from the gas station were so bright that we couldn't see the sky.  I never noticed that it would cause a blind spot when you try to see past the fluorescent lights at dusk.    While we were in the store I remembered I had a dang camera in the car!.  After 5 minutes we started back out and it was waiting on us over a field still to the left, passed a bridge.   Now it was dark.  I pulled my car to the right and jumped on my hood with my camera and started taking pictures and when I did the dang thing started flipping literally.  It now had red, white and blue lights (we triple checked that that night).  I got one shot of it in video (I attached it P1010006.MOV), if you have problems opening it I can co! nvert it Everyone was moving around in the car so all the still shots look like slivers of light.  I hollered for them to stop and they did and that is when I got the video.  They were all freaking out about me being on the hood.  I guess they thought I may get beamed up.  After listening to coast to coast, I have realized that may not have been the smartest move.  The object shot up so far in the sky it was just a blink of a light so I got down and drove us to my house. When we arrived at my house we told my husband what had happened and he looked at us like we had been doing drugs.  We pointed it out to my husband who quickly saw we weren't making it up.  He saw the 3 lights and estimated it was 1/2 mile up. He manages road construction so I trust his judgment on the measurement.  It was higher now than it was when we first saw it.  Friends #3 & #4 left and I offered to take Angie to her Dad's in Monroe so we could talk about what had just happened.  When we left, the object didn't immediately follow us.  My husband said the lights started getting closer to our house, so close that he went inside in fear of what may happen if he didn't.  After 15 minutes we saw it again while heading south on Hwy 165.  It was high in the sky (1/2 mile I guess) hovering.  Once I got her home I headed back to my house and I did not see it again until 10/19/2008.  I saw the same type craft in the sky roll out of the path of a jet.  To the day and the hour!",Bastrop,LA,2005-10-19,Oct 2005,200510,2005,10,18:00:00,0.00,32.8283,-91.89551053,triangle,0.03125,0.75,45,"2,700.00",45 minutes,http://www.nuforc.org/webreports/068/S68775.html,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0
I saw a barrel shaped object two hundred feet above morningside Lutheran church. It was n Not shiny.  It resembled a 55 gallon oil drum,"I saw a barrel shaped object two hundred feet above morningside Lutheran Church.  It was n not shiny.  It resembled a 55 gallon oil drum, and did not move although there was a breeze. ((NUFORC Note:  Witness indicates that the date is approximate.  PD))",Sioux city,IA,2005-06-30,Jun 2005,200506,2005,6,04:30:00,0.00,42.50055538,-96.37649128,other,0.03125,0.75,45,"2,700.00",45 minutes,http://www.nuforc.org/webreports/098/S98317.html,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
((HOAX??))  Trapezoidal object seen in Fairbanks in 2005.,"Trapezoidal object seen in Fairbanks in 2005. From the Wal~Mart Parking lot looking south we observed a large Trapezoidal Object with multiple lights hovering in and coming toward us.   We observed it for 15 minutes then it moved 5 degrees to the right.  And hovered again for another 15 minutes.   After driving home I continued to observe it from my balcony for another fifteen minutes before I went to bed.    Infrasound readings taken of it seem to point to the fact that it had a low in audible sound like engines.  And that it disapeared after the 45 minutes were up.   Using trigonometry, GPS, and angles I estimated the object to be about 23 miles wide. ((NUFORC Note:  We spoke via telephone with the witness, and he reports that he did not take a photograph.  We are skeptical of the report, but the source assured us that it is a truthful rendition of what he experienced.  PD))",Fairbanks,AK,2005-01-13,Jan 2005,200501,2005,1,21:00:00,0.00,64.84527636,-147.8347388,other,0.03125,0.75,45,"2,700.00",45 minutes,http://www.nuforc.org/webreports/118/S118185.html,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
"The waves of lights seemed to materialize high in the sky and move in an ""ocean tidal manner""  that is one wave after another,","We have seen several similar sightings in and near Harrisburg in the last year.   We refer to them as the ""strobe light"" clouds. They last approx. 40 minutes and then fade away.  We also heard a noise something like a distant train.  From our viewing position, no ground base light could ever be pin-pointed and we looked hard trying to locate a point of origin for the light waves. The waves of lights seemed to materialize high in the sky and move in an ""ocean tidal manner""  that is one wave after another, each new wave washing over and dissipating the former one...... approximately every 8 counts. The pattern starts in the North-East quadrant and slowly moves to the South-West quadrant, but the whole light wave ""pattern"" (which takes up one forth of the sky) moves across the sky as a total unit  horizontal to us on the ground (like a flat ceiling above us)   until finally out of sight. There never was a time when we were watching that the light wave simply blinked out (as if a ground light had been turned off).   We live in an area where there are no businesses that would be advertising with a strobe light, it would have to be coming from Columbia which I doubt we would even be able to see from Harrisburg. And even if it was an advertising strobe, why just for 40 minutes?  I mean those big strobe lights are awkward and clumsy to move....if you're really serious about advertising something or ""drawing people in""   why not leave them on long enough for people to find you.......like maybe 60 minutes, or better yet, 2 hours.",Harrisburg,MO,2005-10-01,Oct 2005,200510,2005,10,00:00:00,0.00,39.1394,-92.4461,light,0.027777778,0.666666667,40,"2,400.00",40 minutes,http://www.nuforc.org/webreports/073/S73295.html,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Orange/red glowing objects. Spotsylvania Co Va. 2005 Photographed!,"Orange/red glowing objects. Spotsylvania Co Va. 2005 Photographed! I witnessed about    March 2005 , approximately 3:am in the morning 2-3 glowing orange, like ( hot molten metal! Or reddish orange sun type looking ) objects in the western skyline. I was going to get kerosene for our portable heaters I had bought earlier in the day. They were sitting still (hovering)  Where I first noticed them. Then they each sped straight up at a incredible speed. I thought I was seeing things at first  like a jet or plane helicopter. I knew what I saw was no plane or helicopter! I ran into  the house to get my camera that was close . They were back at exactly the same spot. They would go straight up and zig  zag, doing incredible loops and turns that no human being could ever stand the g-forces involved. They came to the same spot again and went left at 45 deg. Right 45 degrees, until  they went out of sight. Accelerated very fast, No sound! Maneuvering as it would seem. They would blink out or disappear and return to same spot  in a  s! traight line formation just like you would turn a light on off? They returned to same spot about 1 week later I observed them do similar maneuvers as first sighting. They have not returned since Dec. 2006. I have heard about other people who have had similar sightings here in Va. As mine. I live near several military installations ,Fort A.P.HILL 15 miles the way the crow flies, to my rear / west to my front / Culpepper  Va, 35 miles / Senate  Bunker, 40 miles Boeing corp. Gruuman  corp, Mannassas  Va, / 45 miles (closest)  5 miles  North Anna nuclear power, as  well as Dulles or Reagan international Airport, I have sent several ( 4 of  the more than 15 )  of the pictures I have  to Mr Davenport here at  National ufo  to review. These have not been altered or retouched, and are on the original dig. Media card. All pics were taken with a Fuji fine pix 4.9 mega pixel camera with a 6 x zoom lens  + 2 x added zoom lens & adapter.Camera is night time infrared capable. ((NUFORC Note:  Witness indicates that the date of the sighting is approximate.  PD))",Partlow,VA,2005-03-09,Mar 2005,200503,2005,3,03:00:00,0.00,38.075,-77.6663,disk,0.027777778,0.666666667,40,"2,400.00",ONE HOUR,http://www.nuforc.org/webreports/077/S77011.html,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0
